pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
40499,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631719750PE,PE,NIFTY17MAR2619750.00PE,,26000,,,,,,5,65,1458225000,-1,2,1975000.0,NSE,OPTIDX,1458225000,1457049600,1458225000,1457049600,0,0,0,0,0,,0,0,1457887033,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57798,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631724050PE,PE,NIFTY17MAR2624050.00PE,,26000,,,,,,5,65,1458225000,-1,2,2405000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,91375.0,Cash,,0,1,1801.0,65,239915.0,146290.0,36460.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58182,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631727900CE,CE,NIFTY17MAR2627900.00CE,,26000,,,,,,5,65,1458225000,-1,2,2790000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457887036,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
43733,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631719550CE,CE,NIFTY17MAR2619550.00CE,,26000,,,,,,5,65,1458225000,-1,2,1955000.0,NSE,OPTIDX,1458225000,1457136000,1458225000,1457136000,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,360855.0,Cash,,1,1,1801.0,65,0.0,415785.0,305925.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57965,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631726000CE,CE,NIFTY17MAR2626000.00CE,,26000,,,,,,5,65,1458225000,-1,2,2600000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,135.0,Cash,,0,1,1801.0,65,6073660.0,2135.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57553,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631721100PE,PE,NIFTY17MAR2621100.00PE,,26000,,,,,,5,65,1458225000,-1,2,2110000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,685.0,Cash,,0,1,1801.0,65,179335.0,2685.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58244,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631729200PE,PE,NIFTY17MAR2629200.00PE,,26000,,,,,,5,65,1458225000,-1,2,2920000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,602670.0,Cash,,1,1,1801.0,65,0.0,657600.0,547740.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57540,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631720850PE,PE,NIFTY17MAR2620850.00PE,,26000,,,,,,5,65,1458225000,-1,2,2085000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457887036,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57667,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631722450CE,CE,NIFTY17MAR2622450.00CE,,26000,,,,,,5,65,1458225000,-1,2,2245000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,81930.0,Cash,,0,1,1801.0,65,1040.0,136715.0,27145.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
49791,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631719150PE,PE,NIFTY17MAR2619150.00PE,,26000,,,,,,5,65,1458225000,-1,2,1915000.0,NSE,OPTIDX,1458225000,1457568000,1458225000,1457568000,0,0,0,0,0,,0,0,1457887035,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57999,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631726250CE,CE,NIFTY17MAR2626250.00CE,,26000,,,,,,5,65,1458225000,-1,2,2625000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,105.0,Cash,,0,1,1801.0,65,218140.0,2105.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
43710,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631718600PE,PE,NIFTY17MAR2618600.00PE,,26000,,,,,,5,65,1458225000,-1,2,1860000.0,NSE,OPTIDX,1458225000,1457740800,1458225000,1457740800,0,0,0,0,0,,0,0,1457887033,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
43725,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631719400CE,CE,NIFTY17MAR2619400.00CE,,26000,,,,,,5,65,1458225000,-1,2,1940000.0,NSE,OPTIDX,1458225000,1457136000,1458225000,1457136000,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,375850.0,Cash,,1,1,1801.0,65,0.0,430780.0,320920.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
59392,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631718100PE,PE,NIFTY17MAR2618100.00PE,,26000,,,,,,5,65,1458225000,-1,2,1810000.0,NSE,OPTIDX,1458225000,1458086400,1458225000,1458086400,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58003,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631726350CE,CE,NIFTY17MAR2626350.00CE,,26000,,,,,,5,65,1458225000,-1,2,2635000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,105.0,Cash,,0,1,1801.0,65,178620.0,2105.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57894,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631725150PE,PE,NIFTY17MAR2625150.00PE,,26000,,,,,,5,65,1458225000,-1,2,2515000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,200290.0,Cash,,0,1,1801.0,65,15340.0,255220.0,145360.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58208,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631728400PE,PE,NIFTY17MAR2628400.00PE,,26000,,,,,,5,65,1458225000,-1,2,2840000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,523810.0,Cash,,1,1,1801.0,65,0.0,578740.0,468880.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57588,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631721400CE,CE,NIFTY17MAR2621400.00CE,,26000,,,,,,5,65,1458225000,-1,2,2140000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,175925.0,Cash,,0,1,1801.0,65,0.0,230850.0,121000.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
43722,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631719300PE,PE,NIFTY17MAR2619300.00PE,,26000,,,,,,5,65,1458225000,-1,2,1930000.0,NSE,OPTIDX,1458225000,1457136000,1458225000,1457136000,0,0,0,0,0,,0,0,1457887033,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58187,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631728000CE,CE,NIFTY17MAR2628000.00CE,,26000,,,,,,5,65,1458225000,-1,2,2800000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457887036,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58308,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631730800PE,PE,NIFTY17MAR2630800.00PE,,26000,,,,,,5,65,1458225000,-1,2,3080000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,762545.0,Cash,,1,1,1801.0,65,0.0,817475.0,707615.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58156,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631727550PE,PE,NIFTY17MAR2627550.00PE,,26000,,,,,,5,65,1458225000,-1,2,2755000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,438845.0,Cash,,0,1,1801.0,65,0.0,493775.0,383915.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57676,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631722600PE,PE,NIFTY17MAR2622600.00PE,,26000,,,,,,5,65,1458225000,-1,2,2260000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,7580.0,Cash,,0,1,1801.0,65,2500680.0,9580.0,5580.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57552,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631721100CE,CE,NIFTY17MAR2621100.00CE,,26000,,,,,,5,65,1458225000,-1,2,2110000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,205915.0,Cash,,0,1,1801.0,65,0.0,260840.0,150990.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57702,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631723100CE,CE,NIFTY17MAR2623100.00CE,,26000,,,,,,5,65,1458225000,-1,2,2310000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,27325.0,Cash,,0,1,1801.0,65,695695.0,59940.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
38378,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631720100PE,PE,NIFTY17MAR2620100.00PE,,26000,,,,,,5,65,1458225000,-1,2,2010000.0,NSE,OPTIDX,1458225000,1456876800,1458225000,1456876800,0,0,0,0,0,,0,0,1457887032,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57917,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631725600PE,PE,NIFTY17MAR2625600.00PE,,26000,,,,,,5,65,1458225000,-1,2,2560000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,245025.0,Cash,,0,1,1801.0,65,60450.0,299955.0,190095.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
59399,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631718300CE,CE,NIFTY17MAR2618300.00CE,,26000,,,,,,5,65,1458225000,-1,2,1830000.0,NSE,OPTIDX,1458225000,1458086400,1458225000,1458086400,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,485810.0,Cash,,1,1,1801.0,65,0.0,540740.0,430880.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
